
"English;Latin;Français;Español;Portugues;Italiano;TA2ID"
"Oesophageal plexus;Plexus oesophageus;Plexus oesophagien;Plexo esofágico;Plexo esofágico;Plesso esofageo;6690"
"Pulmonary plexus;Plexus pulmonalis;Plexus pulmonaire;Plexo pulmonar;Plexo pulmonar;Plesso polmonare;6691"
"Abdominal plexuses;Plexus abdominales;Plexus abdominal;Plexos abdominales;Plexos abdominais;Plessi addominali;6692"
"Phrenic plexus;Plexus phrenicus;Plexus phrénique;Plexo frénico;Plexo frênico;Plesso frenico;6693"
"Phrenic ganglia;Ganglia phrenica;Ganglions phréniques;Ganglios frénicos;Gânglios frênicos;Gangli frenici;6694"
"Abdominal aortic plexus;Plexus aorticus abdominalis;Plexus aortique abdominal;Plexo aórtico abdominal;Plexo aórtico abdominal;Plesso aortico addominale;6695"
"Coeliac plexus;Plexus coeliacus;Plexus cœliaque;Plexo celiaco;Plexo celíaco;Plesso celiaco;6696"
"Hepatic plexus;Plexus hepaticus;Plexus hépatique;Plexo hepático;Plexo hepático;Plesso epatico;6697"
"Splenic plexus;Plexus splenicus;Plexus splénique;Plexo esplénico;Plexo esplênico;Plesso splenico;6698"
"Gastric plexuses;Plexus gastrici;Plexus gastriques;Plexos gástricos;Plexos gástricos;Plessi gastrici;6699"
"Pancreatic plexus;Plexus pancreaticus;Plexus pancréatique;Plexo pancreático;Plexo pancreático;Plesso pancreatico;6700"
"Suprarenal plexus;Plexus suprarenalis;Plexus surrénal;Plexo suprarrenal;Plexo suprarrenal;Plesso surrenalico;6701"
"Renal plexus;Plexus renalis;Plexus rénal;Plexo renal;Plexo renal;Plesso renale;6702"
"Renal ganglia;Ganglia renalia;Ganglions rénaux;Ganglios renales;Gânglios renais;Gangli renali;6703"
"Ureteric plexus;Plexus uretericus;Plexus urétérique;Plexo ureteral;Plexo ureteral;Plesso ureterico;6704"
"Superior mesenteric plexus;Plexus mesentericus superior;Plexus mésentérique supérieur;Plexo mesentérico superior;Plexo mesentérico superior;Plesso mesenterico superiore;6705"
"Ovarian plexus;Plexus ovaricus;Plexus ovarique;Plexo ovárico;Plexo ovariano;Plesso ovarico;6706"
"Testicular plexus;Plexus testicularis;Plexus testiculaire;Plexo testicular;Plexo testicular;Plesso testicolare;6707"
"Intermesenteric plexus;Plexus intermesentericus;Plexus intermésentérique;Plexo intermesentérico;Plexo intermesentérico;Plesso intermesenterico;6708"
"Inferior mesenteric plexus;Plexus mesentericus inferior;Plexus mésentérique inférieur;Plexo mesentérico inferior;Plexo mesentérico inferior;Plesso mesenterico inferiore;6709"
"Superior anorectal plexus;Plexus anorectalis superior;Plexus anorectal supérieur;Plexo anorrectal superior;Plexo anorretal superior;Plesso rettale superiore;6710"
"Superior hypogastric plexus;Plexus hypogastricus superior;Plexus hypogastrique supérieur;Plexo hipogástrico superior;Plexo hipogástrico superior;Plesso ipogastrico superiore;6711"
"Pelvic plexuses;Plexus pelvici;Plexus pelviens;Plexos pélvicos;Plexos pélvicos;Plessi pelvici;6712"
"Pelvic ganglia;Ganglia pelvica;Ganglions pelviens;Ganglios pélvicos;Gânglios pélvicos;Gangli pelvici;6713"
"Hypogastric nerve;Nervus hypogastricus;Nerf hypogastrique;Nervio hipogástrico;Nervo hipogástrico;Nervo ipogastrico;6714"
"Inferior hypogastric plexus;Plexus hypogastricus inferior;Plexus hypogastrique inférieur;Plexo hipogástrico inferior;Plexo hipogástrico inferior;Plesso ipogastrico inferiore;6715"
"Middle anorectal plexus;Plexus anorectalis medius;Plexus anorectal moyen;Plexo anorrectal medio;Plexo anorretal médio;Plesso rettale medio;6716"
"Rectal plexus;Plexus rectalis;Plexus rectal;Plexo rectal;Plexo retal;Plesso venoso rettale;6717"
"Superior anal nerves;Nervi anales superiores;Nerfs anaux supérieurs;Nervios anales superiores;Nervos anais superiores;Nervi anali superiori;6718"
"Vesical plexus;Plexus vesicalis;Plexus vésical;Plexo vesical;Plexo vesical;Plesso vescicale;6719"
"Deferential plexus;Plexus deferentialis;Plexus déférentiel;Plexo deferente;Plexo deferencial;Plesso deferenziale;6720"
"Uterovaginal plexus;Plexus uterovaginalis;Plexus utérovaginal;Plexo úterovaginal;Plexo uterovaginal;Plesso uterovaginale;6721"
"Vaginal nerves;Nervi vaginales;Nerfs vaginaux;Nervios vaginales;Nervos vaginais;Nervi vaginali;6722"
"Cavernous nerves of clitoris;Nervi cavernosi clitoridis;Nerfs caverneux du clitoris;Nervios cavernosos del clítoris;Nervos cavernosos do clitóris;Nervi cavernosi del clitoride;6723"
"Prostatic plexus;Plexus prostaticus;Plexus prostatique;Plexo prostático;Plexo prostático;Plesso prostatico;6724"
"Cavernous nerves of penis;Nervi cavernosi penis;Nerfs caverneux du pénis;Nervios cavernosos del pene;Nervos cavernosos do pênis;Nervi cavernosi del pene;6725"
"Enteric plexus;Plexus entericus;Plexus entérique;Plexo entérico;Plexo entérico;Plesso enterico;6726"
"Myenteric plexus;Plexus myentericus;Plexus myentérique;Plexo mientérico;Plexo mioentérico;Plesso mioenterico;6727"
"Submucosal plexus;Plexus submucosus;Plexus sous-muqueux;Plexo submucoso;Plexo submucoso;Plesso sottomucoso;6728"
"Olfactory organ;Organum olfactorium;Organe de l'olfaction;Órgano olfativo;Órgão olfativo;Organo dell'olfatto;6730"
"Olfactory epithelium;Epithelium olfactorium;Épithélium olfactif;Epitelio olfativo;Epitélio olfativo;Epitelio olfattivo;6732"
"Olfactory glands;Glandulae olfactoriae;Glandes olfactives;Glándulas olfativas;Glândulas olfativas;Ghiandole olfattive;6733"
"Eye;Oculus;Oeil;Ojo;Olho;Occhio;6734"
"Eyeball;Bulbus oculi;Bulbe oculaire;Glóbo ocular;Globo ocular;Bulbo oculare;6735"
"Anterior pole of eyeball;Polus anterior bulbi oculi;Pôle antérieur du globe oculaire;Polo anterior del globo ocular;Pólo anterior do globo ocular;Polo anteriore del bulbo oculare;6736"
"Posterior pole of eyeball;Polus posterior bulbi oculi;Pôle postérieur du globe oculaire;Polo posterior del globo ocular;Pólo posterior do globo ocular;Polo posteriore del bulbo oculare;6737"
"Equator of eyeball;Aequator bulbi oculi;Equateur du globe oculaire;Ecuador del globo ocular;Equador do globo ocular;Equatore del bulbo oculare;6738"
"Meridians of eyeball;Meridiani bulbi oculi;Méridiens du globe oculaire;Meridianos del globo ocular;Meridianos do globo ocular;Meridiani del bulbo oculare;6739"
"External axis of eyeball;Axis externus bulbi oculi;Axe externe du globe oculaire;Eje externo del globo ocular;Eixo externo do globo ocular;Asse esterno del bulbo oculare;6740"
"Internal axis of eyeball;Axis internus bulbi oculi;Axe interne du globe oculaire;Eje interno del globo ocular;Eixo interno do globo ocular;Asse interno del bulbo oculare;6741"
"Optic axis;Axis opticus;Axe optique;Eje óptico;Eixo ótico;Asse ottico;6742"
"Fibrous layer of eyeball;Tunica fibrosa bulbi oculi;Tunique fibreuse du globe oculaire;Capa fibrosa del globo ocular;Camada fibrosa do globo ocular;Tonaca fibrosa del bulbo oculare;6743"
"Cornea;Cornea;Cornée;Córnea;Córnea;Cornea;6744"
"Corneal vertex;Vertex corneae;Vertex de la cornée;Vértice corneal;Vértice corneal;Vertice corneale;6745"
"Anterior surface of cornea;Facies anterior corneae;Face antérieure de la cornée;Cara anterior de la córnea;Superfície anterior da córnea;Faccia anteriore della cornea;6746"
"Posterior surface of cornea;Facies posterior corneae;Face postérieure de la cornée;Cara posterior de la córnea;Superfície posterior da córnea;Faccia posteriore della cornea;6747"
"Corneoscleral junction;Limbus corneae;Bord cornéen;Limbo esclerocorneal;Limbo da córnea;Limbo corneale;6748"
"Conjunctival ring;Tunica conjunctiva;Anneau conjonctif;Anillo conjuntival;Anel conjuntival;Anello congiuntivale;6749"
"Sclera;Sclera;Sclère;Esclera;Esclera;Sclera;6750"
"Sulcus sclerae;Sulcus sclerae;Sillon de la sclère;Surco de la escera;Sulcus sclerae;Solco sclerale;6751"
"Vascular layer of eyeball;Tunica vasculosa bulbi oculi;Tunique vasculaire du globe oculaire;Capa vascular del globo ocular;Camada vascular do globo ocular;Tonaca vascolare del bulbo oculare;6752"
"Iris;Iris;Iris;Iris;Íris;Iride;6753"
"Pupil;Pupilla;Pupille;Pupila;Pupila;Pupilla;6754"
"Pupillary margin of iris;Margo pupillaris iridis;Bord pupillaire de l'iris;Margen pupilar del iris;Margem pupilar da íris;Margine pupillare dell'iride;6755"
"Inner zone of iris;Anulus minor iridis;Petit cercle de l'iris;Zona interior del iris;Zona interna da íris;Anello irideo minore;6756"
"Folds of iris;Plicae iridis;Plis de l'iris;Pliegues del iris;Dobras de íris;Pliche iridee;6757"
"Outer zone of iris;Anulus major iridis;Grand cercle de l'iris;Zona exterior del iris;Zona externa da íris;Anello irideo maggiore;6758"
"Ciliary margin of iris;Margo ciliaris iridis;Bord ciliaire de l'iris;Borde ciliar del iris;Margem ciliar da íris;Margine ciliare dell'iride;6759"
"Anterior surface of iris;Facies anterior iridis;Face antérieure de l'iris;Cara anterior del iris;Superfície anterior da íris;Faccia anteriore dell'iride;6760"
"Posterior surface of iris;Facies posterior iridis;Face postérieure de l'iris;Cara posterior del iris;Superfície posterior da íris;Faccia posteriore dell'iride;6761"
"Sphincter pupillae;Musculus sphincter pupillae;Sphincter de la pupille;Esfínter de la pupila;Pupilas esfincterianas;Sfintere pupillare;6762"
"Dilator pupillae;Dilatator pupillae;Dilatateur de la pupille;Dilatador de la pupila;Pupilas dilatadoras;Dilatatore pupillare;6763"
"(Pupillary membrane);(Membrana pupillaris);(Membrane pupillaire);(Membrana pupilar);(Membrana pupilar);(Membrana pupillare);6764"
"Ciliary body;Corpus ciliare;Corps ciliaire;Cuerpo ciliar;Corpo ciliar;Corpo ciliare;6765"
"Corona ciliaris;Corona ciliaris;Couronne ciliaire;Corona ciliar;Corona ciliaris;Corona ciliare;6766"
"Ciliary processes;Processus ciliares;Processus ciliaires;Procesos ciliares;Processos ciliares;Processi ciliari;6767"
"Ciliary folds;Plicae ciliares;Plis ciliaires;Pliegues ciliares;Dobras ciliares;Pliche ciliari;6768"
"Orbiculus ciliaris;Orbiculus ciliaris;Orbe ciliaire;Orbe ciliar;Orbiculus ciliaris;Orbicolo ciliare;6769"
"Ciliary muscle;Musculus ciliaris;Muscle ciliaire;Músculo ciliar;Músculo ciliar;Muscolo ciliare;6770"
"Meridional fibres of ciliary muscle;Fibrae meridionales musculi ciliaris;Fibres méridiennes du muscle ciliaire;Fibras meridionales del músculo ciliar;Fibras meridionais do músculo ciliar;Fibre meridionali del muscolo ciliare;6771"
"Radial fibres of ciliary muscle;Fibrae radiales musculi ciliaris;Fibres radiales du muscle ciliaire;Fibras radiales del músculo ciliar;Fibras radiais do músculo ciliar;Fibre radiali del muscolo ciliare;6772"
"Circular fibres of ciliary muscle;Fibrae circulares musculi ciliaris;Fibres circulaires du muscle ciliaire;Fibras circulares del músculo ciliar;Fibras circulares do músculo ciliar;Fibre circolari del muscolo ciliare;6773"
"Choroid;Chorioidea;Choroïde;Coroides;Coróide;Coroide;6774"
"Inner layer of eyeball;Tunica interna bulbi oculi;Tunique interne du bulbe;Capa interna del globo ocular;Camada interna do globo ocular;Tonaca interna del bulbo oculare;6775"
"Retina;Retina;Rétine;Retina;Retina;Retina;6776"
"Nonvisual retina;Pars caeca retinae;Partie aveugle de la rétine;Parte ciega de la retina;Retina não visual;Parte cieca della retina;6777"
"Iridal part of retina;Pars iridica retinae;Partie irienne de la rétine;Parte iridal de la retina;Parte iridal da retina;Parte iridea della retina;6778"
"Ciliary part of retina;Pars ciliaris retinae;Partie ciliaire de la rétine;Parte ciliar de la retina;Parte ciliar da retina;Parte ciliare della retina;6779"
"Ora serrata;Ora serrata;Ora serrata;Ora serrata;Ora serrata;Ora serrata;6780"
"Optic part of retina;Pars optica retinae;Partie optique de la rétine;Parte óptica de la retina;Parte óptica da retina;Parte ottica della retina;6781"
"Pigmented layer of optical retina;Stratum pigmentosum retinae opticae;Partie pigmentaire de la rétine;Capa pigmentada de la retina óptica;Camada pigmentada de retina óptica;Strato pigmentato della retina ;6782"
"Neural layer of optical retina;Stratum nervosum retinae opticae;Partie nerveuse de la rétine;Capa neural de la retina óptica;Camada neural da retina óptica;Strato nervoso della retina ottica;6783"
"Macula;Macula lutea;Macula;Mácula;Macula;Macula lutea;6784"
"Fovea centralis;Fovea centralis;Fovéa;Fovea centralis;Fovea centralis;Fovea centrale;6785"
"Foveola;Foveola;Foveola;Foveóla;Foveola;Foveola;6786"
"Intraocular part of optic nerve;Pars intraocularis nervi optici;Partie intra-oculaire du nerf optique;Parte intraocular del nervio óptico;Parte intra-ocular do nervo óptico;Parte intraoculare del nervo ottico;6787"
"Optic disc;Discus nervi optici;Disque du nerf optique;Disco óptico;Disco óptico;Papilla del nervo ottico;6788"
"Depression of optic disc;Excavatio disci nervi optici;Excavation du disque du nerf optique;Depresión del disco óptico;Depressão do disco óptico;Escavazione della papilla del nervo ottico;6789"
"Anterior segment of eyeball;Segmentum anterius bulbi oculi;Segment antérieur du globe occulaire;Segmento anterior del globo ocular;Segmento anterior do globo ocular;Segmento anteriore del bulbo oculare;6790"
"Aqueous humor;Humor aquosus;Humeur aqueuse;Humor acuoso;Humor aquoso;Umore acqueo;6791"
"Anterior chamber of eyeball;Camera anterior bulbi oculi;Chambre antérieure du globe oculaire;Cámara anterior del globo ocular;Câmara anterior do globo ocular;Camera anteriore del bulbo oculare;6792"
"Iridocorneal angle;Angulus iridocornealis;Angle iridocornéal;Ángulo iridocorneal;Ângulo iridocorneal;Angolo iridocorneale;6793"
"Posterior chamber of eyeball;Camera posterior bulbi oculi;Chambre postérieure du globe oculaire;Cámara posterior del globo ocular;Câmara posterior do globo ocular;Camera posteriore del bulbo oculare;6794"
"Ciliary zonule;Zonula ciliaris;Zonule ciliaire;Zónula ciliar;Zônula ciliar;Zonula ciliare;6795"
"Zonular fibres;Fibrae zonulares;Fibres zonulaires;Fibras zonulares;Fibras zonulares;Fibre zonali;6796"
"Zonular spaces;Spatia zonularia;Espaces zonulaires;Espacios zonulares;Espaços zonulares;Spazi zonali;6797"
"Lens;Lens;Cristalin;Lente;Lente;Lente;6798"
"Anterior surface of lens;Facies anterior lentis;Face antérieure du cristalin;Cara anterior de la lente;Superfície anterior da lente;Faccia anteriore della lente;6799"
"Anterior pole of lens;Polus anterior lentis;Pôle antérieur du cristalin;Polo anterior de la lente;Pólo anterior da lente;Polo anteriore della lente;6800"
"Posterior surface of lens;Facies posterior lentis;Face postérieure du cristalin;Cara posterior de la lente;Superfície posterior da lente;Faccia posteriore della lente;6801"
"Posterior pole of lens;Polus posterior lentis;Pôle postérieur du cristalin;Polo posterior de la lente;Pólo posterior da lente;Polo posteriore della lente;6802"
"Axis of lens;Axis lentis;Axe du cristalin;Eje de la lente;Eixo da lente;Asse della lente;6803"
"Equator of lens;Aequator lentis;Equateur du cristalin;Ecuador de la lente;Equador de lente;Equatore della lente;6804"
"Radii of lens;Radii lentis;Rayons du cristalin;Radios de la lente;Raios de lente;Raggi della lente;6805"
"Posterior segment of eyeball;Segmentum posterius bulbi oculi;Segment postérieur du globe oculaire;Segmento posterior del globo ocular;Segmento posterior do globo ocular;Segmento posteriore del bulbo oculare;6806"
"Postremal chamber of eyeball;Camera postrema bulbi oculi;Chambre postrémale du globe oculaire;Cámara postremal del globo ocular;Câmara pós-renal do globo ocular;Camera vitrea del bulbo oculare;6807"
"Retrozonular space;Spatium retrozonulare;Espace rétrozonulaire;Espacio retrozonular;Espaço retrozonular;Spazio retrozonulare;6808"
"Vitreous body;Corpus vitreum;Corps vitré;Cuerpo vitreo;Corpo vítreo;Corpo vitreo;6809"
"Hyaloid fossa;Fossa hyaloidea;Fosse hyaloïde;Fosa hialoidea;Fossa hialóide;Fossa ialoidea;6810"
"Hyaloid canal;Canalis hyaloideus;Canal hyaloïde;Canal hialoideo;Canal hialóide;Canale ialoideo;6811"
"(Hyaloid artery);(Arteria hyaloidea);(Artère hyaloïde);(Arteria hialoidea);(Artéria hialóide);(Arteria ialoidea);6812"
"Vitreous membrane;Membrana vitrea;Membrane vitrée;Membrana vítrea;Membrana vítrea;Membrana vitrea;6813"
"Vitreous humor;Humor vitreus;Humeur vitrée;Humor vítreo;Humor vitreo;Umor vitreo;6814"
"Accessory visual structures;Structurae accessoriae oculi;Structures visuelles accessoires;Estructuras visuales accesorias;Estruturas visuais acessórias;Strutture visive accessorie;6815"
"Episcleral layer;Lamina episcleralis;Couche épisclérale;Capa epiescleral;Camada episcleral;Lamina episclerale;6816"
"Fascial sheath of eyeball;Vagina bulbi;Gaine du bulbe;Vaina fascial del globo ocular;Bainha fascial do globo ocular;Fascia del bulbo oculare;6817"
"Suspensory ligament of eyeball;Ligamentum suspensorium bulbi;Ligament suspenseur du bulbe;Ligamento suspensorio del globo ocular;Ligamento suspensor do globo ocular;Legamento sospensore del bulbo oculare;6818"
"Orbital fat body;Corpus adiposum orbitae;Corps adipeux de l'orbite;Cuerpo adiposo de la órbita;Corpo gordo orbital;Corpo adiposo dell'orbita;6819"
"Orbitalis muscle;Musculus orbitalis;Muscle orbitaire;Músculo orbitario;Músculo orbital;Muscolo orbitale;6820"
"Eyelids;Palpebrae;Paupières;Párpados;Pálpebras;Palpebre;6822"
"Anterior surface of eyelid;Facies anterior palpebrae;Face antérieure de la paupière;Cara anterior del párpado;Superfície anterior da pálpebra;Faccia anteriore della palpebra;6823"
"Anterior palpebral margin;Limbus anterior palpebrae;Bord palpébral antérieur;Borde palpebral anterior;Margem palpebral anterior;Lembo palpebrale anteriore;6824"
"Posterior palpebral margin;Limbus posterior palpebrae;Bord palpébral postérieur;Borde palpebral posterior;Margem palpebral posterior;Lembo palpebrale posteriore;6825"
"Posterior surface of eyelid;Facies posterior palpebrae;Face postérieure de la paupière;Cara posterior del párpado;Superfície posterior da pálpebra;Faccia posteriore della palpebra;6826"
"Superior tarsus;Tarsus superior;Tarse supérieur;Tarso superior;Tarso superior;Tarso superiore;6827"
"Superior tarsal muscle;Musculus tarsalis superior;Muscle tarsal supérieur;Músculo tarsal superior;Músculo tarsal superior;Muscolo tarsale superiore;6828"
"Inferior tarsus;Tarsus inferior;Tarse inférieur;Tarso inferior;Tarso inferior;Tarso inferiore;6829"
"Inferior tarsal muscle;Musculus tarsalis inferior;Muscle tarsal inférieur;Músculo tarsal inferior;Músculo tarsal inferior;Muscolo tarsale inferiore;6830"
"Lateral palpebral ligament;Ligamentum palpebrale laterale;Ligament palpébral latéral;Ligamento palpebral lateral;Ligamento palpebral lateral;Legamento palpebrale laterale;6831"
"Medial palpebral ligament;Ligamentum palpebrale mediale;Ligament palpébral médial;Ligamento palpebral medial;Ligamento palpebral medial;Legamento palpebrale mediale;6832"
"Tarsal glands;Glandulae tarsales;Glandes tarsales;Glándulas tarsales;Glândulas do tarso;Ghiandole tarsali;6833"
"Ciliary glands;Glandulae ciliares;Glandes ciliaires;Glándulas ciliares;Glândulas ciliares;Ghiandole ciliari;6834"
"Sebaceous glands of eyelids;Glandulae sebaceae palpebrae;Glandes cébacées des paupières;Glándulas sebáceas de los párpados;Glândulas sebáceas das pálpebras;Ghiandole sebacee delle palpebre;6835"
"Bulbar conjunctiva;Tunica conjunctiva bulbi oculi;Conjonctive bulbaire;Conjuntiva bulbar;Conjuntiva bulbar;Congiuntiva bulbare;6837"
"Conjunctival sac;Saccus conjunctivalis;Sac conjonctival;Saco conjuntival;Saccus conjuntivae;Sacco congiuntivale;6838"
"Palpebral conjunctiva;Tunica conjunctiva palpebrae;Conjonctive palpébrale;Capa conjuntival de la palpebra;Tunica conjuntiva palpebrarum;Congiuntiva palpebrale;6839"
"Superior conjunctival fornix;Fornix superior conjunctivae;Fornix supérieur de la conjonctive;Fórnix superior de la conjuntiva;Fornix conjuntiva superior;Fornice congiuntivale superiore;6840"
"Plica semilunaris of conjunctive;Plica semilunaris conjunctivae;Plis semilunaires de la conjonctive;Plica semilunaris de la conjuntiva;Plica semilunaris da conjuntiva;Plica semilunare congiuntivale;6841"
"Inferior conjunctival fornix;Fornix inferior conjunctivae;Fornix inférieur de la conjonctive;Fórnix inferior de la conjuntiva;Fornix conjuntiva inferior;Fornice congiuntivale inferiore;6842"
"Conjunctival glands;Glandulae conjunctivales;Glandes conjonctivales;Glándulas conjuntivales;Glândulas conjuntivais;Ghiandole congiuntivali;6843"
"Lacrimal caruncle;Caruncula lacrimalis;Caroncule lacrymale;Carúncula lagrimal;Carúncula lacrimal;Caruncola lacrimale;6844"
"Lacrimal apparatus;Apparatus lacrimalis;Appareil lacrymal;Órgano lagrimal;Organa lacrimalia;Apparato lacrimale;6845"
"Lacrimal gland;Glandula lacrimalis;Glande lacrymale;Glándula lagrimal;Glândula lacrimal;Ghiandola lacrimale;6846"
"Orbital part of lacrimal gland;Pars orbitalis glandulae lacrimalis;Partie orbitaire de la glande lacrymale;Parte orbital de la glándula lagrimal;Parte orbital da glândula lacrimal;Parte orbitaria della ghiandola lacrimale;6847"
"Palpebral part of lacrimal gland;Pars palpebralis glandulae lacrimalis;Partie palpébrale de la glande lacrymale;Parte palpebral de la glándula lagrimal;Parte palpebral da glândula lacrimal;Parte palpebrale della ghiandola lacrimale;6848"
"Excretory ducts of lacrimal gland;Ductuli excretorii glandulae lacrimalis;Canalicules excréteurs de la glande lacrymale;Conductos excretores de la glándula lagrimal;Dutos excretores da glândula lacrimal;Dotti escretori della ghiandola lacrimale;6849"
"(Accessory lacrimal glands);(Glandulae lacrimales accessoriae);(Glandes lacrymales accessoires);(Glándulas lagrimales accesorias);(Glândulas lacrimais acessórias);(Ghiandole lacrimali accessorie);6850"
"Rivus lacrimalis;Rivus lacrimalis;Rivus lacrimalis;Rivus lacrimalis;Rivus lacrimalis;Rivo lacrimale;6851"
"Lacus lacrimalis;Lacus lacrimalis;Lac lacrymal;Lago lacrimógeno;Lacus lacrimalis;Lago lacrimale;6852"
"Lacrimal papilla;Papilla lacrimalis;Papille lacrymale;Papila lagrimal;Papila lacrimal;Papilla lacrimale;6853"
"Lacrimal punctum;Punctum lacrimale;Point lacrymal;Punto lagrimal;Ponto lacrimal;Punto lacrimale;6854"
"Lacrimal canaliculus;Canaliculus lacrimalis;Canalicule lacrymal;Canalículo lagrimal;Canalículo lacrimal;Canalicolo lacrimale;6855"
"Ampulla of lacrimal canaliculus;Ampulla canaliculi lacrimalis;Ampoule du canalicule lacrymal;Ampulla del canalículo lacrimal;Ampulla ductus lacrimalis;Ampolla del canalicolo lacrimale;6856"
"Lacrimal sac;Saccus lacrimalis;Sac lacrymal;Saco lagrimal;Saco lacrimal;Sacco lacrimale;6857"
"Fornix of lacrimal sac;Fornix sacci lacrimalis;Fornix du sac lacrymal;Fórnix del saco lagrimal;Fornix de saco lacrimal;Fornice del sacco lacrimale;6858"
"Nasolacrimal duct;Ductus nasolacrimalis;Canal lacrymonasal;Conducto nasolagrimal;Ducto nasolacrimal;Condotto nasolacrimale;6859"
"Lacrimal fold;Plica lacrimalis;Pli lacrymal;Pliegue lagrimal;Prega lacrimal;Plica lacrimale;6860"
"Ear;Auris;Oreille;Oreja;Orelha;Orecchio;6861"
"External ear;Auris externa;Oreille externe;Oído externo;Orelha externa;Orecchio esterno;6862"
"External acoustic meatus;Meatus acusticus externus;Méat acoustique externe;Meato acústico externo;Meato acústico externo;Meato acustico esterno;6867"
"External acoustic pore;Porus acusticus externus;Orifice acoustique externe;Poro acústico externo;Poro acústico externo;Poro acustico esterno;6868"
"Cartilage of external acoustic meatus;Cartilago meatus acustici externi;Cartilage du méat acoustique externe;Cartílago del meato acústico externo;Cartilagem do meato acústico externo;Cartilagine del meato acustico esterno;6869"
"Tympanic membrane;Membrana tympanica;Membrane tympanique;Membrana timpánica;Membrana do tímpano;Membrana timpanica;6870"
"Pars flaccida of tympanic;Pars flaccida membranae tympanicae;Partie détendue de la membrane tympanique;Parte blanda de la membrana timpánica;Pars flaccida de timpânico;Parte flaccida della membrana timpanica;6871"
"Pars tensa of tympanic membrane;Pars tensa membranae tympanicae;Partie tendue de la membrane tympanique;Parte tensa de la membrana timpánica;Pars tensa da membrana timpânica;Parte tesa della membrana timpanica;6872"
"Mallear prominence;Prominentia mallearis;Proéminence malléaire;Prominencia mallear;Proeminência de mallear;Prominenza malleare;6873"
"Mallear stria;Stria mallearis;Strie malléaire;Estría mallear;Estria mallear;Stria malleare;6874"
"Umbo of tympanic membrane;Umbo membranae tympanicae;Ombillic de la membrane tympanique;Umbo de la membrana timpánica;Umbo de membrana timpânica;Ombelico della membrana timpanica;6875"
"Fibrocartilaginous ring;Anulus fibrocartilagineus;Anneau fibrocartilagineux;Anillo fibrocartilaginoso;Anel fibrocartilaginoso;Anello fibrocartilagineo;6876"
"Middle ear;Auris media;Oreille moyenne;Oído medio;Ouvido médio;Orecchio medio;6877"
"Tympanic cavity;Cavitas tympani;Cavité du tympan;Cavidad timpánica;Cavidade timpânica;Cavità timpanica;6878"
"Epitympanic recess;Recessus epitympanicus;Récessus épitympanique;Receso epitimpánico;Recesso epitimpânico;Recesso epitimpanico;6879"
"Cupular part of epitympanic recess;Pars cupularis recessus epitympanici;Partie cupulaire du récessus épitympanique;Parte cupular del receso epitimpánico;Parte cupular do recesso epitimpânico;Cupola del recesso epitimpanico;6880"
"Tympanic cavity proper;Cavitas tympani propria;Cavité tympanique propre;Cavidad timpánica propia;Cavidade timpânica adequada;Cavità timpanica propriamente detta;6881"
"Mesotympanum;Mesotympanum;Mesotympanum;Mesotímpano;Mesotímpano;Mesotimpano;6882"
"Hypotympanum;Hypotympanum;Hypotympanum;Hipotímpano;Hipotímpano;Ipotimpano;6883"
"Recesses of tympanic membrane;Recessus membranae tympanicae;Récessus de la membrane tympanique;Recesos de la membrana timpánica;Recessos da membrana timpânica;Recessi della membrana timpanica;6884"
"Anterior recess of tympanic membrane;Recessus anterior membranae tympanicae;Récessus antérieur de la membrane tympanique;Receso anterior de la membrana timpánica;Recesso anterior da membrana timpânica;Recesso anteriore della membrana timpanica;6885"
"Superior recess of tympanic membrane;Recessus superior membranae tympanicae;Récessus supérieur de la membrane tympanique;Receso superior de la membrana timpánica;Recesso superior da membrana timpânica;Recesso superiore della membrana timpanica;6886"
"Posterior recess of tympanic membrane;Recessus posterior membranae tympanicae;Récessus postérieur de la membrane tympanique;Receso posterior de la membrana timpánica;Recesso posterior da membrana timpânica;Recesso posteriore della membrana timpanica;6887"
"Walls of tympanic cavity;Parietes cavitatis tympani;Parois de la cavité tympanique;Paredes de la cavidad timpánica;Paredes da cavidade timpânica;Pareti della cavità timpanica;6888"
"Mucosa of tympanic cavity;Tunica mucosa cavitatis tympani;Muqueuse de la cavité tympanique;Mucosa de la cavidad timpánica;Mucosa da cavidade timpânica;Tonaca mucosa della cavità timpanica;6889"
"Tegmental wall of tympanic cavity;Paries tegmentalis cavitatis tympani;Paroi tegmentale de la cavité tympanique;Pared tegmental de la cavidad timpánica;Parede tegmental da cavidade timpânica;Tegmento del timpano;6890"
"Jugular wall of tympanic cavity;Paries jugularis cavitatis tympani;Paroi jugulaire de la cavité tympanique;Pared yugular de la cavidad timpánica;Parede jugular da cavidade timpânica;Parete giugulare della cavità timpanica;6891"
"Styloid prominence;Prominentia styloidea;Proéminence styloïde;Prominencia estiloide;Proeminência estilóide;Prominenza stiloidea;6892"
"Tympanic cells;Cellulae tympanicae;Cellules tympaniques;Células timpánicas;Células timpânicas;Cellule timpaniche;6893"
"Carotid wall of tympanic cavity;Paries caroticus cavitatis tympani;Paroi carotide de la cavité tympanique;Pared carotídea de la cavidad timpánica;Parede carotídea da cavidade timpânica;Parete carotidea della cavità timpanica;6894"
